,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Voltaje,Es smart,Es 3D,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con Wi-Fi,Modelo,Color,Con USB,Con HDMI,Con HDR,Es curvo,Es portátil,Modelo alfanumérico,Cantidad de puertos USB,Con ethernet,Cantidad de núcleos del procesador,Sistema operativo,Cantidad de puertos HDMI,Con función screen share,Apps integradas,Resolución máxima,Ángulo de visión horizontal,Ángulo de visión vertical,Relación de aspecto,Relación de contraste,Brillo,Tiempo de respuesta,Frecuencia de actualización de la pantalla,Ancho x Profundidad x Altura,Peso,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Duración del producto,Con apagado automático
29,Televisor Para Repuestos,VE,None,Televisores,U$S,,50,,1,1,None,,https://articulo.mercadolibre.com.ve/MLV-711722434-televisor-para-repuestos-_JM#position=15&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:19:36,Sony,Bravia,120V,No,No,LCD,"32 """,Full HD,,KDL-32M3000,Negro,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,,,,,,,,,
30,LG Smart Tv 42,VE,None,Televisores,U$S,,25,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-725096761-lg-smart-tv-42-_JM#position=16&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:19:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Televisor Sony  Trinitron 25 Pulgadas Con Mesa  ,VE,None,Televisores,U$S,,60,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-729671165-televisor-sony-trinitron-25-pulgadas-con-mesa-_JM#position=17&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:19:47,Sony,Trinitron,,No,No,,"25 """,,,KV25FV12/6,,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,
32,Televisor Daewoo 14 Pulgadas,VE,None,Televisores,U$S,,4,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-718795500-televisor-daewoo-14-pulgadas-_JM#position=19&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:19:54,Daewoo,,,,,,"14 """,,,,Gris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Tv Marca Toshiba Smart De 55 ,VE,None,Televisores,U$S,,65,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-738028653-tv-marca-toshiba-smart-de-55-_JM#position=21&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:20:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Televisor Magnavox 50 Pulgadas ,VE,None,Televisores,U$S,,300,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-710383411-televisor-magnavox-50-pulgadas-_JM#position=22&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:20:07,Magnavox,,,Sí,,,"50 """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Televisor Sany 20   ,VE,None,Televisores,U$S,,40,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-730824645-televisor-sany-20-_JM#position=26&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:20:14,Sanyo,"20""",110,No,No,CRT,"20 """,,,,Negro,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,
36,Tv Chino 39 Lf39 Led Pantalla Rota.,VE,None,Televisores,U$S,,30,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-728361330-tv-chino-39-lf39-led-pantalla-rota-_JM#position=27&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:20:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Tv Sony Triniton Trusurround 29'. Reparar O Repuesto,VE,None,Televisores,U$S,,30,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-733450453-tv-sony-triniton-trusurround-29-reparar-o-repuesto-_JM#position=28&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:20:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Televisor Panasonic Panablack Panaturbo 29,VE,None,Televisores,U$S,,60,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-537236141-televisor-panasonic-panablack-panaturbo-29-_JM#position=30&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:20:32,Panasonic,,,,,Analógico,"29 """,,,Panablack,,,,,,,,,,,,,,,,,,,,,,,,35 kg,,,,,,
