,title,brand,Modelo,avg_price,currency,rating,reviews,scrape_link,scrape_datetime,level_9,0
63,Televisor Samsung 55 Pulgadas NEO QLED 4K Ultra HD Smart TV QN55QN85 ,SAMSUNG,QN55QN85BAKXZL,3.739.900,$,3.7,9,https://www.falabella.com.co/falabella-co/product/31880526/Televisor-Samsung-55-Pulgadas-NEO-QLED-4K-Ultra-HD-Smart-TV-QN55QN85/31880526,27/06/2023 08:52:56,Operating system,Tizen
64,Televisor Samsung 75 pulgadas QLED 4K Ultra HD Smart TV ,SAMSUNG,F-QN75LS03BAK1,6.699.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/68305298/Televisor-Samsung-75-pulgadas-QLED-4K-Ultra-HD-Smart-TV/68305298,27/06/2023 08:53:13,Screen size,75 pulgadas
65,Televisor Samsung 75 pulgadas QLED 4K Ultra HD Smart TV ,SAMSUNG,F-QN75LS03BAK1,6.699.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/68305298/Televisor-Samsung-75-pulgadas-QLED-4K-Ultra-HD-Smart-TV/68305298,27/06/2023 08:53:13,Smart TV,Sí
66,Televisor Samsung 75 pulgadas QLED 4K Ultra HD Smart TV ,SAMSUNG,F-QN75LS03BAK1,6.699.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/68305298/Televisor-Samsung-75-pulgadas-QLED-4K-Ultra-HD-Smart-TV/68305298,27/06/2023 08:53:13,Definition,4K Ultra HD
67,Televisor Samsung 75 pulgadas QLED 4K Ultra HD Smart TV ,SAMSUNG,F-QN75LS03BAK1,6.699.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/68305298/Televisor-Samsung-75-pulgadas-QLED-4K-Ultra-HD-Smart-TV/68305298,27/06/2023 08:53:13,Operating system,Tizen
68,Televisor Xiaomi 55 Pulgadas LED 4K Ultra HD Smart TV ,XIAOMI,I4K-UHDP1,1.499.900,$,4.6,52,https://www.falabella.com.co/falabella-co/product/32332778/Televisor-Xiaomi-55-Pulgadas-LED-4K-Ultra-HD-Smart-TV/32332778,27/06/2023 08:53:30,Screen size,55 pulgadas
69,Televisor Xiaomi 55 Pulgadas LED 4K Ultra HD Smart TV ,XIAOMI,I4K-UHDP1,1.499.900,$,4.6,52,https://www.falabella.com.co/falabella-co/product/32332778/Televisor-Xiaomi-55-Pulgadas-LED-4K-Ultra-HD-Smart-TV/32332778,27/06/2023 08:53:30,Smart TV,Sí
70,Televisor Xiaomi 55 Pulgadas LED 4K Ultra HD Smart TV ,XIAOMI,I4K-UHDP1,1.499.900,$,4.6,52,https://www.falabella.com.co/falabella-co/product/32332778/Televisor-Xiaomi-55-Pulgadas-LED-4K-Ultra-HD-Smart-TV/32332778,27/06/2023 08:53:30,Definition,4K Ultra HD
71,Televisor Xiaomi 55 Pulgadas LED 4K Ultra HD Smart TV ,XIAOMI,I4K-UHDP1,1.499.900,$,4.6,52,https://www.falabella.com.co/falabella-co/product/32332778/Televisor-Xiaomi-55-Pulgadas-LED-4K-Ultra-HD-Smart-TV/32332778,27/06/2023 08:53:30,Operating system,Android
72,Televisor Samsung 43 Pulgadas Crystal UHD 4K Ultra HD Smart TV UN43BU8000 ,SAMSUNG,UN43BU8000KXZL,1.599.900,$,3.7,76,https://www.falabella.com.co/falabella-co/product/30579197/Televisor-Samsung-43-Pulgadas-Crystal-UHD-4K-Ultra-HD-Smart-TV-UN43BU8000/30579197,27/06/2023 08:53:48,Screen size,43 pulgadas
