,open,high,low,close,adjclose,volume,ticker
2020-08-07,3370.587890625,3374.133056640625,3307.712890625,3354.034912109375,3354.034912109375,403900,000001.SS
2020-08-10,3341.528076171875,3399.931884765625,3335.04296875,3379.251953125,3379.251953125,381400,000001.SS
2020-08-11,3379.487060546875,3409.05908203125,3336.094970703125,3340.2900390625,3340.2900390625,400500,000001.SS
2020-08-12,3327.492919921875,3335.72900390625,3263.264892578125,3319.26611328125,3319.26611328125,378300,000001.SS
2020-08-13,3328.175048828125,3338.152099609375,3309.462890625,3320.72607421875,3320.72607421875,324300,000001.SS
2020-08-14,3315.6689453125,3362.027099609375,3302.736083984375,3360.09912109375,3360.09912109375,306000,000001.SS
2020-08-17,3373.902099609375,3450.89892578125,3369.3740234375,3438.801025390625,3438.801025390625,434600,000001.SS
2020-08-18,3441.93408203125,3456.720947265625,3432.639892578125,3451.089111328125,3451.089111328125,380700,000001.SS
2020-08-19,3444.56494140625,3454.4609375,3406.1640625,3408.12890625,3408.12890625,405700,000001.SS
2020-08-20,3385.965087890625,3394.556884765625,3352.777099609375,3363.89892578125,3363.89892578125,335600,000001.SS
2020-08-21,3380.22705078125,3393.91796875,3358.0009765625,3380.68310546875,3380.68310546875,287500,000001.SS
2020-08-24,3391.113037109375,3396.56591796875,3368.02587890625,3385.637939453125,3385.637939453125,266200,000001.SS
2020-08-25,3392.8798828125,3408.8701171875,3364.159912109375,3373.577880859375,3373.577880859375,277100,000001.SS
2020-08-26,3371.80810546875,3382.60302734375,3320.135986328125,3329.739013671875,3329.739013671875,294500,000001.SS
2020-08-27,3333.489990234375,3351.830078125,3312.989990234375,3350.110107421875,3350.110107421875,237100,000001.SS
2020-08-28,3346.2890625,3405.876953125,3339.64892578125,3403.806884765625,3403.806884765625,271300,000001.SS
2020-08-31,3416.550048828125,3442.736083984375,3395.468017578125,3395.677978515625,3395.677978515625,323500,000001.SS
2020-09-01,3389.741943359375,3410.60693359375,3381.7109375,3410.60693359375,3410.60693359375,247000,000001.SS
2020-09-02,3420.468994140625,3421.39599609375,3377.2109375,3404.802001953125,3404.802001953125,261500,000001.SS
2020-09-03,3404.031982421875,3425.62890625,3374.262939453125,3384.98095703125,3384.98095703125,255300,000001.SS
2020-09-04,3336.407958984375,3360.10595703125,3328.552001953125,3355.366943359375,3355.366943359375,221600,000001.SS
2020-09-07,3349.91796875,3368.2451171875,3285.633056640625,3292.591064453125,3292.591064453125,260600,000001.SS
2020-09-08,3301.217041015625,3324.39306640625,3276.443115234375,3316.4169921875,3316.4169921875,271100,000001.SS
2020-09-09,3280.9970703125,3289.614990234375,3238.56103515625,3254.6279296875,3254.6279296875,351500,000001.SS
2020-09-10,3282.23193359375,3285.472900390625,3227.64404296875,3234.822998046875,3234.822998046875,312500,000001.SS
2020-09-11,3225.783935546875,3262.498046875,3220.535888671875,3260.345947265625,3260.345947265625,221700,000001.SS
2020-09-14,3275.91796875,3283.532958984375,3261.14794921875,3278.81396484375,3278.81396484375,213900,000001.SS
2020-09-15,3277.1279296875,3297.68994140625,3263.751953125,3295.679931640625,3295.679931640625,197700,000001.SS
2020-09-16,3293.16796875,3302.4560546875,3271.074951171875,3283.924072265625,3283.924072265625,200400,000001.SS
2020-09-17,3277.323974609375,3290.408935546875,3248.4990234375,3270.43505859375,3270.43505859375,202900,000001.SS
2020-09-18,3270.910888671875,3338.323974609375,3268.52587890625,3338.090087890625,3338.090087890625,256300,000001.SS
2020-09-21,3348.89892578125,3350.589111328125,3313.071044921875,3316.93505859375,3316.93505859375,216500,000001.SS
2020-09-22,3290.666015625,3320.22802734375,3265.702880859375,3274.302001953125,3274.302001953125,214000,000001.SS
2020-09-23,3278.8359375,3289.761962890625,3264.89111328125,3279.7109375,3279.7109375,169200,000001.SS
2020-09-24,3262.87890625,3265.344970703125,3221.237060546875,3223.176025390625,3223.176025390625,206700,000001.SS
2020-09-25,3234.3740234375,3239.466064453125,3208.034912109375,3219.41796875,3219.41796875,164800,000001.SS
