,open,high,low,close,adjclose,volume,ticker
2021-03-02,49425.0,50550.0,47245.0,47820.0,47820.0,5993.0,BTC=F
2021-03-03,48035.0,53000.0,47955.0,50900.0,50900.0,6344.0,BTC=F
2021-03-04,50970.0,52190.0,47425.0,48310.0,48310.0,11795.0,BTC=F
2021-03-05,48125.0,49745.0,46295.0,49555.0,49555.0,8929.0,BTC=F
2021-03-08,50580.0,52425.0,49500.0,52145.0,52145.0,7528.0,BTC=F
2021-03-09,51995.0,55265.0,51895.0,54720.0,54720.0,5572.0,BTC=F
2021-03-10,54530.0,57815.0,53430.0,56620.0,56620.0,7098.0,BTC=F
2021-03-11,56980.0,58390.0,54685.0,57955.0,57955.0,7793.0,BTC=F
2021-03-12,58365.0,58725.0,55380.0,57075.0,57075.0,7966.0,BTC=F
2021-03-15,58755.0,61255.0,54915.0,56900.0,56900.0,10372.0,BTC=F
2021-03-16,57005.0,57175.0,53475.0,55910.0,55910.0,7097.0,BTC=F
2021-03-17,56695.0,58490.0,54285.0,57980.0,57980.0,7704.0,BTC=F
2021-03-18,58500.0,60280.0,57090.0,57365.0,57365.0,9656.0,BTC=F
2021-03-19,57950.0,59575.0,56315.0,58975.0,58975.0,6553.0,BTC=F
2021-03-22,58195.0,58460.0,54105.0,55605.0,55605.0,7201.0,BTC=F
2021-03-23,54665.0,55895.0,52915.0,54985.0,54985.0,8663.0,BTC=F
2021-03-24,54580.0,57225.0,53135.0,54645.0,54645.0,8667.0,BTC=F
2021-03-25,53665.0,53665.0,50360.0,52195.0,52195.0,11144.0,BTC=F
2021-03-26,52425.0,53765.0,51305.0,53346.30078125,53346.30078125,5439.0,BTC=F
2021-03-29,55360.0,59000.0,55110.0,58210.0,58210.0,7078.0,BTC=F
2021-03-30,57940.0,60065.0,57585.0,59705.0,59705.0,4634.0,BTC=F
2021-03-31,59360.0,60540.0,57380.0,59285.0,59285.0,6924.0,BTC=F
2021-04-01,59580.0,60345.0,58595.0,59615.0,59615.0,4326.0,BTC=F
2021-04-05,58550.0,60100.0,57155.0,59840.0,59840.0,5908.0,BTC=F
2021-04-06,59415.0,60350.0,57750.0,58735.0,58735.0,5272.0,BTC=F
2021-04-07,58300.0,59080.0,55675.0,56310.0,56310.0,11417.0,BTC=F
2021-04-08,56310.0,58655.0,55910.0,58155.0,58155.0,4605.0,BTC=F
2021-04-09,58010.0,59405.0,58000.0,58760.0,58760.0,3954.0,BTC=F
2021-04-12,60000.0,61945.0,59915.0,60545.0,60545.0,6628.0,BTC=F
2021-04-13,60500.0,64450.0,60300.0,63685.0,63685.0,7145.0,BTC=F
2021-04-14,63885.0,65520.0,61565.0,62400.0,62400.0,8430.0,BTC=F
2021-04-15,62795.0,64030.0,62375.0,63840.0,63840.0,4886.0,BTC=F
2021-04-16,63765.0,64000.0,60165.0,61980.0,61980.0,6631.0,BTC=F
2021-04-19,57120.0,57750.0,54450.0,56045.0,56045.0,10366.0,BTC=F
2021-04-20,56335.0,57155.0,53430.0,56715.0,56715.0,9193.0,BTC=F
2021-04-21,56900.0,57160.0,54325.0,55610.0,55610.0,5859.0,BTC=F
2021-04-22,54825.0,55645.0,51365.0,52860.0,52860.0,13161.0,BTC=F
2021-04-23,51505.0,52150.0,47395.0,50845.0,50845.0,10381.0,BTC=F
2021-04-26,47440.0,54410.0,47440.0,54070.0,54070.0,8341.0,BTC=F
