,Country Code,brand,Model#,title,number_of_offers,average_price,currency,Date added,category,scrape_date,scrape_link,Specification,Specification Value
48,KU,Star,43LN5150,Star X 43-Inch FHD LED Television - Black 43LN5150,1,48.73,KWD,Jun-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-43-inch-fhd-led-television-black-43ln5150-price-in-kuwait-6581697?ref=quicklinks,Screen Size,43 Inch
49,KU,Star,43LN5150,Star X 43-Inch FHD LED Television - Black 43LN5150,1,48.73,KWD,Jun-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-43-inch-fhd-led-television-black-43ln5150-price-in-kuwait-6581697?ref=quicklinks,Special Features,Without 3D
50,KU,Star,43LN5150,Star X 43-Inch FHD LED Television - Black 43LN5150,1,48.73,KWD,Jun-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-43-inch-fhd-led-television-black-43ln5150-price-in-kuwait-6581697?ref=quicklinks,Display Technology,LED
51,KU,Star,43LN5150,Star X 43-Inch FHD LED Television - Black 43LN5150,1,48.73,KWD,Jun-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-43-inch-fhd-led-television-black-43ln5150-price-in-kuwait-6581697?ref=quicklinks,Color,Black
52,KU,Evvoli,75EV350QA,Evvoli 75 inch 4K QLED Android Smart TV - Black 75EV350QA,1,281.92,KWD,Sep-20,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/evvoli-75-inch-4k-qled-android-smart-tv-black-75ev350qa-price-in-kuwait-6004318?ref=quicklinks,price,281.92
53,KU,Evvoli,75EV350QA,Evvoli 75 inch 4K QLED Android Smart TV - Black 75EV350QA,1,281.92,KWD,Sep-20,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/evvoli-75-inch-4k-qled-android-smart-tv-black-75ev350qa-price-in-kuwait-6004318?ref=quicklinks,Display Resolution,Ultra HD (4K)
54,KU,Evvoli,75EV350QA,Evvoli 75 inch 4K QLED Android Smart TV - Black 75EV350QA,1,281.92,KWD,Sep-20,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/evvoli-75-inch-4k-qled-android-smart-tv-black-75ev350qa-price-in-kuwait-6004318?ref=quicklinks,Screen Size,75 Inch
55,KU,Evvoli,75EV350QA,Evvoli 75 inch 4K QLED Android Smart TV - Black 75EV350QA,1,281.92,KWD,Sep-20,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/evvoli-75-inch-4k-qled-android-smart-tv-black-75ev350qa-price-in-kuwait-6004318?ref=quicklinks,Special Features,"Without 3D,Smart TV"
56,KU,Evvoli,75EV350QA,Evvoli 75 inch 4K QLED Android Smart TV - Black 75EV350QA,1,281.92,KWD,Sep-20,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/evvoli-75-inch-4k-qled-android-smart-tv-black-75ev350qa-price-in-kuwait-6004318?ref=quicklinks,Color,Black
57,KU,Evvoli,75EV350QA,Evvoli 75 inch 4K QLED Android Smart TV - Black 75EV350QA,1,281.92,KWD,Sep-20,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/evvoli-75-inch-4k-qled-android-smart-tv-black-75ev350qa-price-in-kuwait-6004318?ref=quicklinks,Model,75EV350QA 56099
