,country,category,brand,title,reference,no_offers,avg_price,currency,Çıkış Yılı,scrape_time,scrape_link,level_11,0
38,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Smart TV Uygulamaları,"Netflix


Prime Video


YouTube"
39,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Uygulama Yükleyebilme,Var
40,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Dahili Kamera,Yok
41,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Akıllı Etkileşim (Dahili),Var
42,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Ses ile TV Kontrolü,Var
43,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Yayın Kaydetme (PVR),Yok
44,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Program Rehberi (EPG),Var
45,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,HbbTV,Var
46,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,İşlemci Çekirdek Sayısı,4
47,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,İşletim Sistemi,Tizen
48,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,İşletim Sistemi Versiyonu,Tizen 6.5
49,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Diğer Multimedya Özellikleri,"Bluetooth


FreeSync


FreeSync Premium Pro


Ekran Yansıtma (İki Yönlü)


Freesync Premium


Ekran Yansıtma


Tek kumanda (One Remote Control)


Bluetooth HID (Dahili)


USB HID Desteği


USB ile Resim/Müzik/Video Oynatma


Connect Share (HDD)


ConnectShare


Oyun Modu


Ambient Mode


Ambient Mode Plus


Auto Low Latency Mode (ALLM)


Bixby Voice


Bluetooth 4.2


Bluetooth LE (Low Energy)


Google Duo


Multiroom Link


Samsung SmartThings


Ses Yansıtma


Wireless Dex


2 Tuner (Çift Alıcı)"
50,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,SDR Enerji Tüketim Sınıfı (A-G),G
51,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,SDR Enerji Tüketimi (1000h),114 kWh
52,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,HDR Enerji Tüketim Sınıfı (A-G),G
53,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,HDR Enerji Tüketimi (1000h),220 kWh
54,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Güç Tüketimi (Maksimum),250 W
55,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Tüketim (Bekleme Modu),0.5 W
56,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Güç Tüketimi Özellikleri,"Akıllı Enerji Tasarrufu Sistemi 

Işık sensörü (Eco Sensor/Akıllı Sensör) 

Otomatik Kapanma"
57,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Ekran Kalınlık Tipi,Slim
58,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Ön Çerçeve Rengi,Gri
59,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Stand (Ayak) Tipi,Kare
60,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Tasarım Özellikleri,VESA Duvar Montaj Desteği (200x200 mm)
61,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Kutu Genişliği,1459 mm
62,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Kutu Yüksekliği,845 mm
63,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Kutu Derinliği,178 mm
64,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,TV Genişliği (Ayaklı),1227.6 mm
